"nom","prénom","groupe","rattachement_parti","sexe","département","id_nossenateurs","url_institution"
"MARINI","Philippe","UMP","Union pour un Mouvement Populaire","H","Oise","philippe-marini","http://www.senat.fr/senateur/marini_philippe92035t.html"
"MARSEILLE","Hervé","UDI-UC","Union des radicaux, centristes, indépendants et démocrates","H","Hauts-de-Seine","herve-marseille","http://www.senat.fr/senateur/marseille_herve11085t.html"
"MARTIN","Pierre","UMP","Union pour un Mouvement Populaire","H","Somme","pierre-martin","http://www.senat.fr/senateur/martin_pierre95047l.html"
"MASSION","Marc","SOC","Parti socialiste","H","Seine-Maritime","marc-massion","http://www.senat.fr/senateur/massion_marc95003x.html"
"MASSON","Jean Louis","NI","Debout la République","H","Moselle","jean-louis-masson","http://www.senat.fr/senateur/masson_jean_louis01060r.html"
"MASSON-MARET","Hélène","UMP","Union pour un Mouvement Populaire","F","Alpes-Maritimes","helene-masson-maret","http://www.senat.fr/senateur/masson_maret_helene13001t.html"
"MAUREY","Hervé","UDI-UC","Association PSLE Nouveau Centre","H","Eure","herve-maurey","http://www.senat.fr/senateur/maurey_herve08009t.html"
"MAYET","Jean-François","UMP","Union pour un Mouvement Populaire","H","Indre","jean-francois-mayet","http://www.senat.fr/senateur/mayet_jean_francois08062y.html"
"MAZARS","Stéphane","RDSE","Parti radical de gauche","H","Aveyron","stephane-mazars","http://www.senat.fr/senateur/mazars_stephane12039e.html"
"MAZUIR","Rachel","SOC","Parti socialiste","H","Ain","rachel-mazuir","http://www.senat.fr/senateur/mazuir_rachel08053x.html"
"MÉLOT","Colette","UMP","Union pour un Mouvement Populaire","F","Seine-et-Marne","colette-melot","http://www.senat.fr/senateur/melot_colette04057k.html"
"MERCERON","Jean-Claude","UDI-UC","Union des radicaux, centristes, indépendants et démocrates","H","Vendée","jean-claude-merceron","http://www.senat.fr/senateur/merceron_jean_claude04083m.html"
"MERCIER","Michel","UDI-UC","Union des radicaux, centristes, indépendants et démocrates","H","Rhône","michel-mercier","http://www.senat.fr/senateur/mercier_michel95049n.html"
"MEUNIER","Michelle","SOC","Parti socialiste","F","Loire-Atlantique","michelle-meunier","http://www.senat.fr/senateur/meunier_michelle11067r.html"
